id,price,room_type,accommodates,bedrooms,beds,bathrooms,shared_bath,dist_center_km,neighbourhood,property_type,superhost,host_tenure_yrs,host_n_listings,n_reviews_ltm,is_new,minimum_nights,has_pool,has_hot_tub,has_ac,has_free_parking,has_gym,has_washer,has_ev_charger,has_workspace,pets_allowed,self_checkin
44890086,459,Entire home/apt,10,4,5,4,0,2.1956352957729575,78702,House,0,5.833333333333333,2,18,0,1,0,0,1,1,0,0,0,0,0,1
5421249,302.67,Entire home/apt,10,3,3,2,0,6.8684914775679164,78741,House,0,11.333333333333334,1,1,0,3,0,0,1,1,0,0,0,0,0,1
1432068447430160710,338.5,Entire home/apt,14,4,6,2.5,0,6.463219251409241,78741,House,1,6.75,5,3,0,2,0,0,1,1,0,1,0,1,0,1
1684302623574250891,740,Entire home/apt,8,4,4,2.5,0,7.733608736503114,78752,House,0,0.8333333333333334,7,3,0,1,1,0,1,1,0,1,0,0,1,0
858623562052793174,40.52,Entire home/apt,2,1,1,1,0,7.690388589712707,78745,Guesthouse/Guest suite,1,7.583333333333333,2,45,0,1,0,0,1,1,0,0,0,1,0,0
22716452,227.1,Entire home/apt,4,2,2,1,0,6.610091157147302,78746,House,1,9.583333333333334,2,16,0,2,0,0,1,1,0,1,0,1,1,1
1688847326506915000,194,Entire home/apt,8,3,3,2,0,18.954913335673822,Other,House,0,5,1,0,1,1,0,0,1,1,0,1,0,1,1,0
329172,610.6700000000001,Entire home/apt,6,3,3,2,0,7.107053882064731,78746,House,0,14.333333333333334,1,0,0,3,1,0,1,1,0,1,0,0,0,0
681608501612457376,379.5,Entire home/apt,6,2,3,2,0,0.7542600020707663,78701,Apartment/Condo,1,4.333333333333333,28,2,0,2,1,0,1,0,1,1,0,1,0,1
28898451,176.03,Entire home/apt,4,1,2,1,0,2.2238877530718413,78702,Apartment/Condo,1,7.666666666666667,2,11,0,1,0,0,1,0,1,0,1,1,0,1
1090133931493054678,167.8,Entire home/apt,4,1,3,1,0,13.36979932893129,Other,Apartment/Condo,0,4,38,26,0,1,1,0,1,1,1,1,0,1,1,1
880630678586529198,1793,Entire home/apt,10,4,6,3,0,2.311339765149868,78704,House,1,8.833333333333334,10,17,0,1,1,0,1,1,1,1,0,1,1,0
1518880070439010266,524.5,Entire home/apt,12,4,8,2,0,7.7951998252870585,78745,House,1,0.6666666666666666,1,33,0,1,1,1,1,1,0,1,0,1,0,1
42255810,391,Entire home/apt,7,2,3,2,0,8.113169754084455,78745,House,0,2.25,1,12,0,1,1,0,1,1,0,1,0,0,0,1
1372595255080710518,218,Entire home/apt,5,2,2,1.5,0,7.970923575214041,78752,House,1,10.083333333333334,2,10,0,3,0,0,1,1,0,1,0,1,1,1
34220164,200,Entire home/apt,5,2,2,1.5,0,0.9644124445672746,78701,Apartment/Condo,0,7.833333333333333,2,12,0,2,0,0,1,1,0,1,0,0,1,1
1490701628151642259,202.68,Entire home/apt,6,3,3,2,0,15.911104392451055,78758,House,1,1.6666666666666665,5,20,0,2,0,0,1,1,0,1,0,1,1,1
1700998619280678166,211,Entire home/apt,4,2,2,2.5,0,6.24531196908053,78723,House,0,0.8333333333333334,7,2,0,2,0,0,1,1,0,1,0,0,1,1
1566349075224783760,296.71,Entire home/apt,8,3,4,3,0,3.9119351487176375,78702,House,1,0.5,1,33,0,1,1,0,1,1,0,1,0,1,1,1
962301539764360743,239,Entire home/apt,4,1,2,1,0,3.2038306846012476,78704,House,1,12.583333333333334,2,34,0,1,0,0,1,1,0,1,0,1,1,1
1328979920090298135,174,Entire home/apt,6,2,2,1,0,5.751395523542022,78723,Apartment/Condo,1,1.8333333333333335,36,6,0,1,0,0,1,1,0,1,0,1,0,1
1592207566110915006,349.96,Entire home/apt,10,3,6,2,0,13.028807132408755,78758,House,0,1.25,2,3,0,3,1,1,1,1,0,1,0,0,1,1
4076557,197,Entire home/apt,6,3,3,1,0,6.7843979919524,78745,House,1,11.666666666666666,1,13,0,2,0,0,1,1,0,1,0,0,0,1
13571814,143.03,Entire home/apt,4,1,1,1,0,4.560710828442698,78704,Apartment/Condo,0,10.75,9,13,0,2,0,0,1,1,0,1,0,1,0,1
22561297,129,Entire home/apt,3,2,3,1,0,21.208366715878572,78734,Guesthouse/Guest suite,1,10.083333333333334,3,24,0,1,0,0,1,1,0,0,0,1,0,1
1639592329182639937,422.5,Private room,4,1,2,1,0,0.7512264079849117,78701,Hotel-like,1,1.1666666666666667,4,0,1,2,1,1,1,0,0,1,0,1,0,1
1174085497496274908,339.8,Private room,2,1,1,1,0,1.7486426253933562,78701,Hotel-like,1,2,4,2,0,1,1,0,1,0,0,0,0,1,1,0
1662712226332830571,273.88,Entire home/apt,4,1,1,1,0,3.103345135745032,78703,Guesthouse/Guest suite,0,0.16666666666666666,1,1,0,1,0,0,1,1,0,1,0,1,0,0
1655175787136827158,81.82,Private room,2,1,1,2.5,0,17.203801527055163,Other,House,1,2.5833333333333335,5,0,1,2,0,0,1,1,0,1,0,1,0,0
1364711834262946762,195,Entire home/apt,4,2,2,1,0,1.8838258828862677,78703,House,0,1.6666666666666665,2,31,0,1,0,0,1,1,0,1,0,0,0,1
1507609250285147702,1292.5,Entire home/apt,14,5,6,3,0,6.769113687946835,78723,House,1,1.25,3,57,0,1,1,1,1,1,0,1,0,0,1,1
1558681328999852449,80,Private room,1,1,1,1,0,17.280764418136044,Other,House,0,14,1,0,1,4,0,0,1,0,0,1,0,0,0,0
1256838548933408653,1596,Entire home/apt,14,6,9,4.5,0,8.630538321745451,78757,House,1,7.333333333333333,4,11,0,2,1,0,1,1,0,1,0,0,1,0
49077419,669.5,Entire home/apt,16,5,11,2,0,9.921272341390193,78744,House,0,7.666666666666667,1,12,0,2,0,0,1,1,0,1,0,1,1,1
37008818,105.09,Entire home/apt,4,1,1,2,0,3.8793900071289618,78704,Apartment/Condo,0,6.833333333333333,1,1,0,5,1,0,1,1,0,1,0,1,1,1
2223634,251,Entire home/apt,4,2,2,1.5,0,3.3074951773126045,78704,House,1,15.416666666666666,6,20,0,1,0,0,1,1,0,1,0,1,1,1
1253777950634572592,268.32,Entire home/apt,8,3,4,2.5,0,5.257324170399083,78721,House,1,3.5,1,13,0,1,0,0,1,1,0,1,0,0,0,1
1136468418116645855,359.46999999999997,Entire home/apt,4,1,1,1,0,1.8999851537410735,78701,Apartment/Condo,0,1.6666666666666665,1,0,1,1,1,1,1,1,0,1,0,1,1,0
36633198,468,Entire home/apt,6,4,3,2.5,0,3.546824455212323,78704,House,0,13.25,2,0,0,3,0,0,1,1,0,1,0,1,0,1
1464620190298359998,200,Entire home/apt,3,1,1,1,0,14.896733491429552,78744,Guesthouse/Guest suite,1,7.25,3,30,0,1,0,0,1,1,0,1,0,1,1,1
906065157270891179,1084.5,Entire home/apt,5,4,4,2.5,0,14.978317925726113,78724,House,0,3.9166666666666665,5,0,0,2,0,1,1,1,0,1,0,1,0,0
1264353317475921269,181,Entire home/apt,3,1,2,1,0,24.047412488881562,78734,House,1,3.9166666666666665,3,31,0,2,1,1,1,1,1,0,0,0,0,1
809349061918913385,145,Entire home/apt,4,1,2,1,0,2.121777717221652,78704,Apartment/Condo,0,0.16666666666666666,15,21,0,1,1,0,1,1,0,1,0,1,0,1
1201690124598430253,159.76,Entire home/apt,6,2,3,1,0,8.80996159411105,78745,House,0,1.9166666666666665,1,8,0,3,0,0,1,1,0,1,0,0,0,1
731072315992112148,278,Entire home/apt,4,1,2,1,0,2.029573029055548,78701,Apartment/Condo,0,10.5,9,27,0,1,1,0,1,0,1,1,1,1,1,1
41952467,710.6700000000001,Private room,6,2,3,2,0,0.6363269921093401,78701,Hotel-like,0,8.833333333333334,2,0,0,3,1,0,1,0,1,1,0,0,0,1
1441392165676300776,416.33,Private room,6,2,3,2,0,0.8842945231250946,78701,Hotel-like,0,3,60,0,1,3,1,0,1,0,1,1,0,0,0,0
1220901315214510438,191,Entire home/apt,6,2,2,2,0,4.43097465307017,78704,Apartment/Condo,0,3.9166666666666665,26,28,0,1,0,0,1,1,1,1,0,1,0,1
841312017464841126,342.5,Entire home/apt,8,3,3,3,0,13.91143220403262,78744,House,0,0.6666666666666666,1,1,0,2,0,0,1,1,0,1,1,1,1,1
1192240182330047762,144,Entire home/apt,6,2,4,2,0,13.399917521969362,Other,Apartment/Condo,0,4,38,35,0,1,1,0,1,1,1,1,0,1,1,1
48663524,200,Entire home/apt,10,4,4,3,0,21.53102831695522,78734,House,1,9.583333333333334,2,41,0,1,0,0,1,1,0,1,0,0,1,1
1490717972857276765,182,Entire home/apt,4,1,2,1,0,4.344796354013559,78751,Apartment/Condo,1,0.4166666666666667,3,19,0,1,1,0,1,1,0,0,0,1,1,1
1401538368576083539,370.67,Private room,4,1,2,1,0,0.8292814492275474,78701,Hotel-like,0,3,60,0,1,3,1,0,1,1,1,1,0,0,0,0
934990042170037687,308,Entire home/apt,8,3,5,2,0,14.067869806269883,Other,House,1,2.9166666666666665,2,29,0,1,0,0,1,1,0,1,0,1,1,1
573197526424591853,247.5,Entire home/apt,5,2,2,1.5,0,1.6438744471287947,78703,Apartment/Condo,0,4.5,3,9,0,2,0,0,1,1,0,1,0,1,0,1
1315235232691580390,219.67,Entire home/apt,4,2,2,2,0,4.673754935368137,78704,Apartment/Condo,0,1.5,1,7,0,2,0,0,1,1,1,1,0,1,1,1
1097201394434670744,192,Entire home/apt,2,1,1,1,0,5.912653900304944,Other,Guesthouse/Guest suite,0,2.3333333333333335,1,6,0,1,0,0,1,1,0,0,0,0,0,1
1138413316546336952,121,Entire home/apt,2,1,1,1,0,1.2802573250821083,78701,Hotel-like,0,2.0833333333333335,42,2,0,1,1,0,1,0,0,0,0,0,1,1
21224597,257,Entire home/apt,2,1,1,1,0,2.4752658642516225,78703,House,0,8.666666666666666,1,0,0,2,0,0,1,1,0,1,0,0,0,1
1597375546392168592,216,Entire home/apt,4,1,2,1,0,5.814131142402317,78704,Apartment/Condo,1,4.5,178,0,1,1,1,0,1,0,0,1,0,0,1,1
1508036137124206290,542.5,Entire home/apt,8,3,5,2,0,9.372250388576454,78744,House,0,0.75,1,3,0,2,1,0,1,1,0,1,0,0,0,1
944845844797113255,574,Entire home/apt,16,5,12,3,0,26.258317378748064,78737,House,1,7.166666666666667,23,29,0,2,1,0,1,1,0,1,0,0,1,1
